initial_alias,name
ENSMUSG00000064717,Gm24208
ENSMUSG00000083127,Gm15189
ENSMUSG00000093044,Snord8
ENSMUSG00000119904,n-R5s125
ENSMUSG00000023885,Thbs2
ENSMUSG00000113306,Mif-ps7
ENSMUSG00000028565,Nfia
ENSMUSG00000103924,Gm37895
ENSMUSG00000109232,Gm44577
ENSMUSG00000065440,Mirlet7g
ENSMUSG00000105625,Gm31230
ENSMUSG00000112471,Gm5779
ENSMUSG00000101093,Eef1a1-ps2
ENSMUSG00000108844,Gm6702
ENSMUSG00000115200,Gm46516
ENSMUSG00000118054,Gm5238
ENSMUSG00000118586,Gm17695
ENSMUSG00000064917,Snord138
ENSMUSG00000111023,Gm48391
ENSMUSG00000110085,Gm17911
ENSMUSG00000089512,Gm26287
ENSMUSG00000101972,H3c11
ENSMUSG00000113076,Gm47088
ENSMUSG00000053626,Tll1
ENSMUSG00000035653,Lrfn5
ENSMUSG00000118186,Gm8642
ENSMUSG00000025905,Oprk1
ENSMUSG00000080610,Snord110
ENSMUSG00000116185,Gm49411
ENSMUSG00000096766,Gm23793
ENSMUSG00000081050,Gm12461
ENSMUSG00000084172,Gm16420
ENSMUSG00000065676,Snord42b
ENSMUSG00000065110,Snord61
ENSMUSG00000045678,Or5b124
ENSMUSG00000076361,Mir182
ENSMUSG00000113756,Gm18025
ENSMUSG00000064359,mt-Tg
ENSMUSG00000117816,Gm50360
ENSMUSG00000018217,Pmp22
ENSMUSG00000062154,Tex33
ENSMUSG00000113146,Gm47406
ENSMUSG00000112637,Gm48225
ENSMUSG00000111436,Gm47356
ENSMUSG00000034701,Neurod1
ENSMUSG00000024479,Mal2
ENSMUSG00000023737,1700082M22Rik
ENSMUSG00000118815,Gm22068
ENSMUSG00000064726,Gm25854
ENSMUSG00000079450,Cldn34c1
ENSMUSG00000031538,Plat
ENSMUSG00000104976,Gm43060
ENSMUSG00000091842,Gm16490
ENSMUSG00000119142,Gm23143
ENSMUSG00000068950,Or1j10
ENSMUSG00000113674,Hspe1-ps1
ENSMUSG00000077239,Snord66
ENSMUSG00000006373,Pgrmc1
ENSMUSG00000064682,Gm25813
ENSMUSG00000051177,Plcb1
ENSMUSG00000115812,Gm49309
ENSMUSG00000095492,Gm14361
ENSMUSG00000094306,Gm24924
ENSMUSG00000093178,Snord87
ENSMUSG00000069310,H3c3
ENSMUSG00000111012,Gm7588
ENSMUSG00000118905,Snord93
ENSMUSG00000074771,Ankef1
ENSMUSG00000065749,AF357428
ENSMUSG00000081741,Gm14106
ENSMUSG00000111899,Gm18636
ENSMUSG00000111552,Gm7570
ENSMUSG00000118751,Gm26444
ENSMUSG00000114698,Rpl31-ps3
ENSMUSG00000105818,Gm43256
ENSMUSG00000108546,Gm44662
ENSMUSG00000082455,Gm13665
ENSMUSG00000110986,Gm20276
ENSMUSG00000064918,Gm22571
ENSMUSG00000081064,Gm6071
ENSMUSG00000104720,Gm43138
ENSMUSG00000076052,Mir541
ENSMUSG00000054136,Adm2
ENSMUSG00000061937,Csn1s2a
ENSMUSG00000100444,C530043A13Rik
ENSMUSG00000111477,Gm47668
ENSMUSG00000043274,Or10ag2
ENSMUSG00000097762,4732463B04Rik
ENSMUSG00000104864,Gm43655
ENSMUSG00000108396,Gm6905
ENSMUSG00000113015,Gm6296
ENSMUSG00000064647,Gm23301
ENSMUSG00000057050,Or1e1f
ENSMUSG00000059729,Or2y1
ENSMUSG00000089861,Gm16139
ENSMUSG00000090074,Gm6921
ENSMUSG00000026579,F5
ENSMUSG00000065898,Gm24522
ENSMUSG00000097586,Gm26528
ENSMUSG00000089633,A230009B12Rik
ENSMUSG00000078452,Raet1d
ENSMUSG00000082531,Gm11556
ENSMUSG00000082715,Gm11633
ENSMUSG00000084403,Rps15a-ps8
ENSMUSG00000115235,Gm49102
ENSMUSG00000117510,Gm50032
ENSMUSG00000064390,Snord73b
ENSMUSG00000053199,Arhgap20
ENSMUSG00000065448,Mir154
ENSMUSG00000057457,Phex
ENSMUSG00000083720,Gm12901
ENSMUSG00000022229,Atp12a
ENSMUSG00000068686,Cd59b
ENSMUSG00000061482,H4c4
ENSMUSG00000110908,Gm48434
ENSMUSG00000064512,Gm22456
ENSMUSG00000115528,Gm8408
ENSMUSG00000082963,Gm12465
ENSMUSG00000093656,Gm20628
ENSMUSG00000107349,Gm6655
ENSMUSG00000063021,H2ac15
ENSMUSG00000025094,Slc18a2
ENSMUSG00000060981,H4c8
ENSMUSG00000104349,Gm37692
ENSMUSG00000065701,Rny1
ENSMUSG00000089802,Gm16107
ENSMUSG00000107551,Gm4605
ENSMUSG00000089265,Gm22888
ENSMUSG00000119004,Gm23264
ENSMUSG00000082486,Gm11919
ENSMUSG00000102443,Gm37102
ENSMUSG00000112054,Gm33680
ENSMUSG00000118865,Gm26065
ENSMUSG00000101328,Rpl30-ps6
ENSMUSG00000085830,Grin1os
ENSMUSG00000062257,Opcml
ENSMUSG00000083728,Gm13854
ENSMUSG00000081023,Gm15766
ENSMUSG00000083320,Gm13935
ENSMUSG00000081730,Gm13785
ENSMUSG00000084336,Or4x6
ENSMUSG00000119624,Gm25414
ENSMUSG00000061603,Akap6
ENSMUSG00000119286,Rnu5g
ENSMUSG00000091117,Gm9064
ENSMUSG00000036899,Trpv5
ENSMUSG00000097171,Gm17644
ENSMUSG00000098023,Gm19200
ENSMUSG00000083539,Gm12466
ENSMUSG00000020467,Efemp1
ENSMUSG00000069308,H2bc22
ENSMUSG00000082410,Gm12011
ENSMUSG00000119893,Gm25023
ENSMUSG00000064590,Gm22301
ENSMUSG00000101208,Gm19891
ENSMUSG00000047657,Crry-ps
ENSMUSG00000118781,n-R5s13
ENSMUSG00000006784,Odad4
ENSMUSG00000096950,Gm9530
ENSMUSG00000082877,Gm13009
ENSMUSG00000080965,Gm6461
ENSMUSG00000108562,Gm44519
ENSMUSG00000104272,Gm38297
ENSMUSG00000103148,Gm37746
ENSMUSG00000077403,Gm25419
ENSMUSG00000021573,Tppp
ENSMUSG00000032181,Scg3
ENSMUSG00000056910,Vmn2r107
ENSMUSG00000099795,Gm29492
ENSMUSG00000049723,Mmp12
ENSMUSG00000077345,Snord70
ENSMUSG00000104869,Gm42544
ENSMUSG00000107687,Gm44254
ENSMUSG00000115578,Gm46506
ENSMUSG00000105471,A430073D23Rik
ENSMUSG00000065752,Gm23344
ENSMUSG00000103021,Gm37682
ENSMUSG00000050957,Insl6
ENSMUSG00000104994,Gm42989
ENSMUSG00000104325,Gm37321
ENSMUSG00000107586,Gm44283
ENSMUSG00000005087,Cd44
ENSMUSG00000049249,Gm5316
ENSMUSG00000084017,Rpl21-ps9
ENSMUSG00000112379,Gm47900
